Provinsi,Jumlah Perpustakaan Khusus Terakreditasi-A,Jumlah Perpustakaan Khusus Terakreditasi-B,Jumlah Perpustakaan Khusus Terakreditasi-C,Jumlah Perpustakaan Khusus Terakreditasi-total,Jumlah Perpustakaan Sekolah Terakreditasi-A,Jumlah Perpustakaan Sekolah Terakreditasi-B,Jumlah Perpustakaan Sekolah Terakreditasi-C,Jumlah Perpustakaan Sekolah Terakreditasi-total,Jumlah Perpustakaan Perguruan Tinggi Terakreditasi-A,Jumlah Perpustakaan Perguruan Tinggi Terakreditasi-B,Jumlah Perpustakaan Perguruan Tinggi Terakreditasi-C,Jumlah Perpustakaan Perguruan Tinggi Terakreditasi-total,Jumlah Perpustakaan Umum Terakreditasi-A,Jumlah Perpustakaan Umum Terakreditasi-B,Jumlah Perpustakaan Umum Terakreditasi-C,Jumlah Perpustakaan Umum Terakreditasi-total,Jumlah Perpustakaan-Total
Aceh,,2,4,6,,9,115,124,4,4,8,16,1,4,34,39,185
Sumatera Utara,4,3,2,9,3,21,47,71,10,4,4,18,3,10,25,38,136
Sumatera Barat,1,2,2,5,22,60,193,275,5,5,5,15,1,11,30,42,337
Riau,,2,1,3,94,45,36,175,3,9,5,17,4,12,11,27,222
Jambi,1,1,,2,1,8,63,72,,5,16,21,1,6,14,21,116
Sumatera Selatan,1,1,5,7,9,47,193,249,7,9,11,27,2,9,11,22,305
Bengkulu,1,1,1,3,5,10,11,26,7,,2,9,2,3,9,14,52
Lampung,1,1,4,6,3,21,58,82,8,5,6,19,,7,16,23,130
Kepulauan Bangka Belitung,1,,6,7,16,86,256,358,2,2,5,9,2,13,26,41,415
Kepulauan Riau,1,2,,3,,,18,18,1,1,1,3,2,,3,5,29
DKI Jakarta,17,14,8,39,11,10,495,516,26,14,5,45,4,13,41,58,658
Jawa Barat,9,6,7,22,45,50,756,851,32,30,19,81,10,23,20,53,1007
Jawa Tengah,7,6,5,18,341,334,743,1418,32,19,15,66,23,41,28,92,1594
DI Yogyakarta,5,6,3,14,378,99,382,859,31,10,11,52,13,13,31,57,982
Jawa Timur,7,4,9,20,386,259,1776,2421,46,21,28,95,21,28,106,155,2691
Banten,1,4,,5,10,36,147,193,9,5,2,16,1,6,5,12,226
Bali,1,,4,5,11,45,502,558,3,6,4,13,1,10,12,23,599
Nusa Tenggara Barat,,1,,1,4,17,108,129,1,2,6,9,,5,17,22,161
Nusa Tenggara Timur,1,1,2,4,,2,15,17,,2,6,8,,2,23,25,54
Kalimantan Barat,1,,5,6,3,19,121,143,1,2,5,8,1,6,8,15,172
Kalimantan Tengah,,,,,3,9,81,93,1,5,3,9,,6,17,23,125
Kalimantan Selatan,1,2,3,6,10,23,172,205,3,1,13,17,5,5,34,44,272
Kalimantan Timur,3,2,1,6,65,93,83,241,4,3,4,11,8,11,9,28,286
Kalimantan Utara,,1,,1,1,,23,24,,1,,1,,1,6,7,33
Sulawesi Utara,,1,,1,2,2,9,13,1,,,1,1,4,12,17,32
Sulawesi Tengah,,,3,3,2,4,20,26,2,2,2,6,,5,10,15,50
Sulawesi Selatan,1,1,2,4,31,33,111,175,7,10,15,32,1,14,19,34,245
Sulawesi Tenggara,1,,3,4,6,29,35,70,2,4,3,9,3,2,16,21,104
Gorontalo,,1,,1,14,28,54,96,5,3,3,11,2,5,3,10,118
Sulawesi Barat,,,,,,4,12,16,,1,2,3,,,10,10,29
Maluku,,,,,1,,3,4,,1,2,3,1,2,11,14,21
Maluku Utara,,,,,,5,12,17,1,2,,3,,3,8,11,31
Papua Barat,,,,,3,4,8,15,,1,1,2,,3,3,6,23
Papua Barat Daya,,,,,,1,2,3,1,,,1,,1,3,4,8
Papua,1,,1,2,,1,,1,,1,1,2,,,4,4,9
Papua Selatan,,,,,,,,,,1,,1,,,,,1
Papua Tengah,,,,,,,,,,,,,,,,,
Papua Pegunungan,,,,,,,,,,,,,,,,,
Indonesia,67,65,81,213,1480,1414,6660,9554,255,191,213,659,113,284,635,1032,11458
,,,,,,,,,,,,,,,,,
Catatan,,,,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,,,,